aid,aidtype,aidname,aiddesc,aidcomment,aidsrcid,aidsrcname,aidextid,depdate,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,cnt,activecnt,anatomyid,anatomy,annotation
578930,Literature-derived,Transactivation activity at human progesterone receptor isoform B expressed in human Cos1 cells co-transfected with luciferase reporter gene linked to MMTV promoter at 10'-6 M after 24 hrs,"Title: Biological activity and ligand binding mode to the progesterone receptor of A-homo analogues of progesterone._||_Abstract: The biological activity of two seven-membered A-ring (A-homo) analogues of progesterone was evaluated by transactivation assays in Cos-1 cells and by determination of Bcl-x(L) expression levels in T47D cells. The results show that both compounds act as selective progesterone receptor (PR) agonists but lack mineralocorticoid receptor (MR) activity. Molecular modelling using semiempirical AM1 and ab initio HF/6-31G** calculations, showed that the A-ring of the A-homo steroids may adopt five different conformations, although only three correspond to low energy conformers. The low energy conformers of each analogue were introduced into the ligand binding pocket of the PR ligand binding domain (LBD) obtained from the PR LBD-progesterone crystal structure. The steroid binding mode was then analyzed using 10 ns of molecular dynamics (MD) simulation. The PR LBD-progesterone complex was also simulated as a control system. The MD results showed that both A-homo steroids have one conformer that may be properly recognized by the PR, in agreement with the observed progestagen activity. Moreover, the simulation revealed the importance of a water molecule in the formation of a hydrogen bonding network among specific receptor residues and the steroid A-ring carbonyl.",Journal: Bioorg. Med. Chem._||_Year: 2011_||_Volume: 19_||_Issue: 5_||_First Page: 1683_||_Last Page: 1691_||_DOI: 10.1016/j.bmc.2011.01.033_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL1685458,20110918,20180917,46837326|53319594,124962061|124970017,5241,NULL,P06401,Curation Efforts|Research and Development,21315613,0,NULL,P06401,9606,NULL,NULL,2,2,NULL,NULL,NULL
578931,Literature-derived,Transactivation activity at human progesterone receptor isoform B expressed in human Cos1 cells co-transfected with luciferase reporter gene linked to MMTV promoter at 10'-7 M after 24 hrs,"Title: Biological activity and ligand binding mode to the progesterone receptor of A-homo analogues of progesterone._||_Abstract: The biological activity of two seven-membered A-ring (A-homo) analogues of progesterone was evaluated by transactivation assays in Cos-1 cells and by determination of Bcl-x(L) expression levels in T47D cells. The results show that both compounds act as selective progesterone receptor (PR) agonists but lack mineralocorticoid receptor (MR) activity. Molecular modelling using semiempirical AM1 and ab initio HF/6-31G** calculations, showed that the A-ring of the A-homo steroids may adopt five different conformations, although only three correspond to low energy conformers. The low energy conformers of each analogue were introduced into the ligand binding pocket of the PR ligand binding domain (LBD) obtained from the PR LBD-progesterone crystal structure. The steroid binding mode was then analyzed using 10 ns of molecular dynamics (MD) simulation. The PR LBD-progesterone complex was also simulated as a control system. The MD results showed that both A-homo steroids have one conformer that may be properly recognized by the PR, in agreement with the observed progestagen activity. Moreover, the simulation revealed the importance of a water molecule in the formation of a hydrogen bonding network among specific receptor residues and the steroid A-ring carbonyl.",Journal: Bioorg. Med. Chem._||_Year: 2011_||_Volume: 19_||_Issue: 5_||_First Page: 1683_||_Last Page: 1691_||_DOI: 10.1016/j.bmc.2011.01.033_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL1685459,20110918,20180917,46837326|53319594,124962061|124970017,5241,NULL,P06401,Curation Efforts|Research and Development,21315613,0,NULL,P06401,9606,NULL,NULL,2,2,NULL,NULL,NULL
578934,Literature-derived,Agonist activity at human progesterone receptor in human T47D cells assessed as induction of Bcl-xL gene expression at 10'-6 M after 6 hrs by quantitative PCR,"Title: Biological activity and ligand binding mode to the progesterone receptor of A-homo analogues of progesterone._||_Abstract: The biological activity of two seven-membered A-ring (A-homo) analogues of progesterone was evaluated by transactivation assays in Cos-1 cells and by determination of Bcl-x(L) expression levels in T47D cells. The results show that both compounds act as selective progesterone receptor (PR) agonists but lack mineralocorticoid receptor (MR) activity. Molecular modelling using semiempirical AM1 and ab initio HF/6-31G** calculations, showed that the A-ring of the A-homo steroids may adopt five different conformations, although only three correspond to low energy conformers. The low energy conformers of each analogue were introduced into the ligand binding pocket of the PR ligand binding domain (LBD) obtained from the PR LBD-progesterone crystal structure. The steroid binding mode was then analyzed using 10 ns of molecular dynamics (MD) simulation. The PR LBD-progesterone complex was also simulated as a control system. The MD results showed that both A-homo steroids have one conformer that may be properly recognized by the PR, in agreement with the observed progestagen activity. Moreover, the simulation revealed the importance of a water molecule in the formation of a hydrogen bonding network among specific receptor residues and the steroid A-ring carbonyl.",Journal: Bioorg. Med. Chem._||_Year: 2011_||_Volume: 19_||_Issue: 5_||_First Page: 1683_||_Last Page: 1691_||_DOI: 10.1016/j.bmc.2011.01.033_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL1685462,20110918,20180917,46837326|53319594,124962061|124970017,5241,NULL,P06401,Curation Efforts|Research and Development,21315613,0,NULL,P06401,9606,525,NULL,2,2,NULL,NULL,NULL
578935,Literature-derived,Agonist activity at human progesterone receptor in human T47D cells assessed as induction of Bcl-xL gene expression at 10'-7 M after 6 hrs by quantitative PCR,"Title: Biological activity and ligand binding mode to the progesterone receptor of A-homo analogues of progesterone._||_Abstract: The biological activity of two seven-membered A-ring (A-homo) analogues of progesterone was evaluated by transactivation assays in Cos-1 cells and by determination of Bcl-x(L) expression levels in T47D cells. The results show that both compounds act as selective progesterone receptor (PR) agonists but lack mineralocorticoid receptor (MR) activity. Molecular modelling using semiempirical AM1 and ab initio HF/6-31G** calculations, showed that the A-ring of the A-homo steroids may adopt five different conformations, although only three correspond to low energy conformers. The low energy conformers of each analogue were introduced into the ligand binding pocket of the PR ligand binding domain (LBD) obtained from the PR LBD-progesterone crystal structure. The steroid binding mode was then analyzed using 10 ns of molecular dynamics (MD) simulation. The PR LBD-progesterone complex was also simulated as a control system. The MD results showed that both A-homo steroids have one conformer that may be properly recognized by the PR, in agreement with the observed progestagen activity. Moreover, the simulation revealed the importance of a water molecule in the formation of a hydrogen bonding network among specific receptor residues and the steroid A-ring carbonyl.",Journal: Bioorg. Med. Chem._||_Year: 2011_||_Volume: 19_||_Issue: 5_||_First Page: 1683_||_Last Page: 1691_||_DOI: 10.1016/j.bmc.2011.01.033_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL1685463,20110918,20180917,5994,103175608,5241,NULL,P06401,Curation Efforts|Research and Development,21315613,0,NULL,P06401,9606,525,NULL,1,1,NULL,NULL,NULL
162448,Confirmatory,Inhibition of [3H]R5020 binding to rabbit uterine progesterone receptor,"Title: Synthesis and evaluation of potential radioligands for the progesterone receptor._||_Abstract: Several steroidal analogues were synthesized as potential gamma-emitting radioligands for the progesterone receptor. Each of these compounds was tested as an inhibitor of the specific binding of [3H]-17 alpha,21-dimethyl-19-nor-4,9-pregnadiene-3,20-dione (R5020) to the progesterone receptor in rabbit uterine cytosol. R5020 is a well-known progestin with high affinity for the receptor. Of the compounds synthesized, aromatic N-substituted C-17 steroidal carboxamides inhibited the binding only poorly. Three compounds, 16 alpha-iodo-4-estren-17 beta-ol-3-one, 17 alpha-[2(E)-iodovinyl]-4-estren-17 beta-ol-3-one, and 17 alpha-[2(Z)-iodovinyl]-4-estren-17 beta-ol-3-one were excellent competitors, each having a Ki less than or equal to that of the natural progestin, progesterone. Since similar iodinated analogues of estrogens have been shown to be extremely stable both in vivo and in vitro, these compounds are potentially useful ligands for the progesterone receptor.",Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation._||_Journal: J. Med. Chem._||_Year: 1985_||_Volume: 28_||_Issue: 11_||_First Page: 1695_||_Last Page: 1699_||_DOI: 10.1021/jm00149a027_||_Target ChEMBL ID: CHEMBL3456_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL764185,20100521,20220830,NULL,NULL,100009094,NULL,P06186,Curation Efforts|Research and Development,4067997,0,NULL,P06186,9986,NULL,NULL,5,5,NULL,NULL,NULL
162597,Literature-derived,Agonistic efficacy relative to progesterone (100%) on Human Progesterone receptor B isoform in co-transfected CV-1 cell lines.,"Title: Synthesis and biological activity of novel nonsteroidal progesterone receptor antagonists based on cyclocymopol monomethyl ether._||_Abstract: A novel class of nonsteroidal progesterone receptor antagonists has been synthesized and was shown to exhibit moderate binding affinity for hPR-A, the ability to inhibit the transcriptional activity of human progesterone receptor (hPR) in cell-based assays, and anti-progestational activity in a murine model. Cyclocymopol monomethyl ether, a component of the marine alga Cymopolia barbata was weakly active in random screening against PR. Investigations into the SAR surrounding the core of this natural product lead structure resulted in improved in vitro activity. In contrast to the cross-reactivity profiles observed with known steroidal antiprogestins, compounds of the general structural class described display a high degree of selectivity for the progesterone receptor and no functional activity on the glucocorticoid receptor.",Journal: J. Med. Chem._||_Year: 1996_||_Volume: 39_||_Issue: 9_||_First Page: 1778_||_Last Page: 1789_||_DOI: 10.1021/jm950747d_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: H - Homologous protein target assigned_||_Confidence: Homologous single protein target assigned,43,ChEMBL,CHEMBL763405,20100521,20181015,55245|5311505|9949772|9979395|10337245|10423330|10432143|10496255|10501542|10517398|10524606|10546095|10593144|10618033|10661117|10665612|10739308|10754393|10782276|10783127|10785305|10805958|10807828|10827013|11794088|44295653,103234147|103234644|103234670|103234671|103234693|103234736|103234737|103234738|103234752|103234795|103234796|103234876|103234877|103234921|103234922|103234953|103235086|103235087|103235096|103235107|103235133|103235134|103235160|123086577|136946112|163333410,5241,NULL,P06401,Curation Efforts|Research and Development,8627601,0,NULL,P06401,9606,212,NULL,26,NULL,NULL,NULL,NULL
162598,Literature-derived,Agonistic efficacy relative to progesterone on Human Progesterone receptor B isoform expressed in CV-1 cells; ND = Not determined,"Title: Synthesis and biological activity of novel nonsteroidal progesterone receptor antagonists based on cyclocymopol monomethyl ether._||_Abstract: A novel class of nonsteroidal progesterone receptor antagonists has been synthesized and was shown to exhibit moderate binding affinity for hPR-A, the ability to inhibit the transcriptional activity of human progesterone receptor (hPR) in cell-based assays, and anti-progestational activity in a murine model. Cyclocymopol monomethyl ether, a component of the marine alga Cymopolia barbata was weakly active in random screening against PR. Investigations into the SAR surrounding the core of this natural product lead structure resulted in improved in vitro activity. In contrast to the cross-reactivity profiles observed with known steroidal antiprogestins, compounds of the general structural class described display a high degree of selectivity for the progesterone receptor and no functional activity on the glucocorticoid receptor.",Journal: J. Med. Chem._||_Year: 1996_||_Volume: 39_||_Issue: 9_||_First Page: 1778_||_Last Page: 1789_||_DOI: 10.1021/jm950747d_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL763406,20100521,20181015,10499308|10809583,103234778|103234846,5241,NULL,P06401,Curation Efforts|Research and Development,8627601,0,NULL,P06401,9606,212,NULL,2,NULL,NULL,NULL,NULL
162599,Literature-derived,Agonistic efficacy relative to progesterone on Human Progesterone receptor B isoform expressed in co-transfected CV-1 cells; Not determined,"Title: Synthesis and biological activity of novel nonsteroidal progesterone receptor antagonists based on cyclocymopol monomethyl ether._||_Abstract: A novel class of nonsteroidal progesterone receptor antagonists has been synthesized and was shown to exhibit moderate binding affinity for hPR-A, the ability to inhibit the transcriptional activity of human progesterone receptor (hPR) in cell-based assays, and anti-progestational activity in a murine model. Cyclocymopol monomethyl ether, a component of the marine alga Cymopolia barbata was weakly active in random screening against PR. Investigations into the SAR surrounding the core of this natural product lead structure resulted in improved in vitro activity. In contrast to the cross-reactivity profiles observed with known steroidal antiprogestins, compounds of the general structural class described display a high degree of selectivity for the progesterone receptor and no functional activity on the glucocorticoid receptor.",Journal: J. Med. Chem._||_Year: 1996_||_Volume: 39_||_Issue: 9_||_First Page: 1778_||_Last Page: 1789_||_DOI: 10.1021/jm950747d_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL878764,20100521,20181015,10497270,103234606,5241,NULL,P06401,Curation Efforts|Research and Development,8627601,0,NULL,P06401,9606,212,NULL,1,NULL,NULL,NULL,NULL
162602,Literature-derived,Antagonistic efficacy relative to progesterone on Human Progesterone receptor B isoform expressed in CV-1 cells,"Title: Synthesis and biological activity of novel nonsteroidal progesterone receptor antagonists based on cyclocymopol monomethyl ether._||_Abstract: A novel class of nonsteroidal progesterone receptor antagonists has been synthesized and was shown to exhibit moderate binding affinity for hPR-A, the ability to inhibit the transcriptional activity of human progesterone receptor (hPR) in cell-based assays, and anti-progestational activity in a murine model. Cyclocymopol monomethyl ether, a component of the marine alga Cymopolia barbata was weakly active in random screening against PR. Investigations into the SAR surrounding the core of this natural product lead structure resulted in improved in vitro activity. In contrast to the cross-reactivity profiles observed with known steroidal antiprogestins, compounds of the general structural class described display a high degree of selectivity for the progesterone receptor and no functional activity on the glucocorticoid receptor.",Journal: J. Med. Chem._||_Year: 1996_||_Volume: 39_||_Issue: 9_||_First Page: 1778_||_Last Page: 1789_||_DOI: 10.1021/jm950747d_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL765238,20100521,20181015,55245|5311505|10499308,103234778|123086577|136946112,5241,NULL,P06401,Curation Efforts|Research and Development,8627601,0,NULL,P06401,9606,212,NULL,3,NULL,NULL,NULL,NULL
1179643,Literature-derived,Agonist activity at progesterone receptor (unknown origin) expressed in human HepG2 cells assessed as relative luciferase activity at 1 uM by MMTV promoter-driven luciferase reporter gene assay relative to progesterone,"Title: Triterpenes from Alisma orientalis act as androgen receptor agonists, progesterone receptor antagonists, and glucocorticoid receptor antagonists._||_Abstract: Alisma orientalis, a well-known traditional medicine, exerts numerous pharmacological effects including anti-diabetes, anti-hepatitis, and anti-diuretics but its bioactivity is not fully clear. Androgen receptor (AR), progesterone receptor (PR), and glucocorticoid receptor (GR) are three members of nuclear receptor superfamily that has been widely targeted for developing treatments for essential diseases including prostate cancer and breast cancer. In this study, two triterpenes, alisol M 23-acetate and alisol A 23-acetate from Alisma orientalis were determined whether they may act as androgen receptor (AR), progesterone receptor (PR), or glucocorticoid receptor (GR) modulators. Indeed, in the transient transfection reporter assays, alisol M 23-acetate and alisol A 23-acetate transactivated AR in dose-dependent manner, while they transrepressed the transactivation effects exerted by agonist-activated PR and GR. Through molecular modeling docking studies, they were shown to respectively interact with AR, PR, or GR ligand binding pocket fairly well. All these results indicate that alisol M 23-acetate and alisol A 23-acetate from Alisma orientalis might possess therapeutic effects through their modulation of AR, PR, and GR pathways.",Journal: Bioorg. Med. Chem. Lett._||_Year: 2014_||_Volume: 24_||_Issue: 15_||_First Page: 3626_||_Last Page: 3632_||_DOI: 10.1016/j.bmcl.2014.05.039_||_Target ChEMBL ID: CHEMBL208_||_ChEMBL Target Name: Progesterone receptor_||_ChEMBL Target Type: SINGLE PROTEIN - Target is a single protein chain_||_Relationship Type: D - Direct protein target assigned_||_Confidence: Direct single protein target assigned,43,ChEMBL,CHEMBL3372580,20160521,20181005,55245,123086577,5241,NULL,P06401,Curation Efforts|Research and Development,24915879,0,NULL,P06401,9606,27,NULL,1,NULL,NULL,NULL,NULL
