DTXSID,PREFERRED NAME,casrn,INCHIKEY,IUPAC NAME,smiles,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays,predictions_model2
DTXSID20243932,Cumidine,99-88-7,LRTFPLFDLJYEKT-UHFFFAOYSA-N,4-(Propan-2-yl)aniline,CC(C)C1=CC=C(N)C=C1,"InChI=1S/C9H13N/c1-7(2)8-3-5-9(10)6-4-8/h3-7H,10H2,1-2H3",C9H13N,135.21,135.104799,61,,158.0,,4, ,,,Inactive
DTXSID6020353,Calcium cyanamide,156-62-7,MYFXBBAEXORJNB-UHFFFAOYSA-N,,[Ca++].[N--]C#N,InChI=1S/CN2.Ca/c2-1-3;/q-2;+2,CCaN2,80.103,79.968739,82,539.0,,,1, ,,,Inactive
DTXSID20865032,Pigment Yellow 81,22094-93-5,GPWXTTPSHZOIKO-UHFFFAOYSA-N,"2,2'-[(2,2',5,5'-Tetrachloro[1,1'-biphenyl]-4,4'-diyl)bis(diazene-2,1-diyl)]bis[N-(2,4-dimethylphenyl)-3-oxobutanamide]",CC(=O)C(N=NC1=CC(Cl)=C(C=C1Cl)C1=CC(Cl)=C(C=C1Cl)N=NC(C(C)=O)C(=O)NC1=CC=C(C)C=C1C)C(=O)NC1=CC=C(C)C=C1C,"InChI=1/C36H32Cl4N6O4/c1-17-7-9-29(19(3)11-17)41-35(49)33(21(5)47)45-43-31-15-25(37)23(13-27(31)39)24-14-28(40)32(16-26(24)38)44-46-34(22(6)48)36(50)42-30-10-8-18(2)12-20(30)4/h7-16,33-34H,1-6H3,(H,41,49)(H,42,50)",C36H32Cl4N6O4,754.49,752.123914,53,,29.0,4.0,5, ,,,Inactive
DTXSID8021226,C.I. Pigment Red 3,2425-85-6,ZLFVRXUOSPRRKQ-UHFFFAOYSA-N,1-[(4-Methyl-2-nitrophenyl)diazenyl]naphthalen-2-ol,CC1=CC(=C(C=C1)N=NC1=C2C=CC=CC2=CC=C1O)[N+]([O-])=O,"InChI=1S/C17H13N3O3/c1-11-6-8-14(15(10-11)20(22)23)18-19-17-13-5-3-2-4-12(13)7-9-16(17)21/h2-10,21H,1H3",C17H13N3O3,307.309,307.095691,110,6.0,111.0,116.0,2, ,,,Inactive
DTXSID4070586,"Benzoic acid, 2-[(2-phenylethylidene)amino]-, methyl ester",67785-76-6,UTUBQSIVMXUACR-UHFFFAOYSA-N,Methyl 2-[(2-phenylethylidene)amino]benzoate,COC(=O)C1=C(C=CC=C1)N=CCC1=CC=CC=C1,"InChI=1S/C16H15NO2/c1-19-16(18)14-9-5-6-10-15(14)17-12-11-13-7-3-2-4-8-13/h2-10,12H,11H2,1H3",C16H15NO2,253.301,253.110279,20,,24.0,,3, ,,,Inactive
DTXSID6068014,C.I. Pigment Red 266,36968-27-1,HULNYTPFPARJMG-UHFFFAOYSA-N,4-[(4-Carbamoylphenyl)diazenyl]-3-hydroxy-N-(2-methoxyphenyl)naphthalene-2-carboxamide,COC1=C(NC(=O)C2=C(O)C(N=NC3=CC=C(C=C3)C(N)=O)=C3C=CC=CC3=C2)C=CC=C1,"InChI=1S/C25H20N4O4/c1-33-21-9-5-4-8-20(21)27-25(32)19-14-16-6-2-3-7-18(16)22(23(19)30)29-28-17-12-10-15(11-13-17)24(26)31/h2-14,30H,1H3,(H2,26,31)(H,27,32)",C25H20N4O4,440.459,440.148455,42,,27.0,1.0,2, ,,,Inactive
DTXSID30860336,"Benzene, 1,2-bis(1-methylethyl)-",577-55-9,OKIRBHVFJGXOIS-UHFFFAOYSA-N,"1,2-Di(propan-2-yl)benzene",CC(C)C1=CC=CC=C1C(C)C,"InChI=1S/C12H18/c1-9(2)11-7-5-6-8-12(11)10(3)4/h5-10H,1-4H3",C12H18,162.276,162.140851,45,,86.0,,5, ,,,Inactive
DTXSID70239744,4-(((2-Aminophenyl)methyl)amino)cyclohexyl acetate,93839-71-5,VPLIJSLZFWAYSJ-UHFFFAOYSA-N,4-{[(2-Aminophenyl)methyl]amino}cyclohexyl acetate,CC(=O)OC1CCC(CC1)NCC1=CC=CC=C1N,"InChI=1S/C15H22N2O2/c1-11(18)19-14-8-6-13(7-9-14)17-10-12-4-2-3-5-15(12)16/h2-5,13-14,17H,6-10,16H2,1H3",C15H22N2O2,262.353,262.168128,20,,11.0,,4, ,,,Inactive
DTXSID60873015,Perfluorobutanesulfonate,45187-15-3,JGTNAGYHADQMCM-UHFFFAOYSA-M,Nonafluorobutane-1-sulfonatato,[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9O3S/c5-1(6,3(9,10)11)2(7,8)4(12,13)17(14,15)16/h(H,14,15,16)/p-1",C4F9O3S,299.09,298.942992,33,,12.0,,1, ,,,Inactive
DTXSID1051565,1-Bromo-3-chloropropane,109-70-6,MFESCIUQSIBMSM-UHFFFAOYSA-N,1-Bromo-3-chloropropane,ClCCCBr,InChI=1S/C3H6BrCl/c4-2-1-3-5/h1-3H2,C3H6BrCl,157.44,155.934141,89,1.0,123.0,1.0,1, ,,,Inactive
